Interaction_ID,User_ID,User_Name,User_Age,User_Gender,User_Location,User_Membership_Level,Item_ID,Item_Name,Item_Category,Item_Subcategory,Item_Brand,Item_Price,Item_Rating,Interaction_Type,Timestamp,Rating,Discount_Applied,Payment_Method,Referral_Source
1,U001,Bob Brown,52,Female,Los Angeles,Silver,P0001,Headphones,Clothing,Fiction,Brand A,109.99,4.2,review,2024-01-01 00:00:00,4,True,Bank Transfer,email campaign
2,U002,Jane Smith,34,Male,New York,Gold,P0002,T-Shirt,Home Goods,Kitchen Appliances,Brand D,126.47,4.7,click,2024-01-01 00:01:00,5,True,Bank Transfer,search engine
3,U003,Charlie Davis,19,Male,Los Angeles,Platinum,P0003,Novel,Electronics,Apparel,Brand C,128.97,3.5,click,2024-01-01 00:02:00,3,True,Bank Transfer,social media
4,U004,Jane Smith,31,Non-Binary,Phoenix,Gold,P0004,Headphones,Electronics,Wearable Tech,Brand B,869.13,3.6,review,2024-01-01 00:03:00,3,True,Credit Card,social media
5,U005,Alice Johnson,40,Non-Binary,Chicago,Platinum,P0005,Laptop,Clothing,Apparel,Brand B,876.09,4.9,purchase,2024-01-01 00:04:00,,False,Cash,direct visit
6,U006,Alice Johnson,41,Female,Phoenix,Platinum,P0006,Novel,Books,Fiction,Brand D,671.08,4.6,purchase,2024-01-01 00:05:00,,True,Credit Card,social media
7,U007,Jane Smith,21,Non-Binary,Houston,Silver,P0007,Coffee Maker,Electronics,Fiction,Brand A,473.97,3.4,click,2024-01-01 00:06:00,5,True,Bank Transfer,email campaign
8,U008,Bob Brown,55,Female,Chicago,Gold,P0008,Coffee Maker,Electronics,Apparel,Brand B,748.47,4.2,click,2024-01-01 00:07:00,,True,Cash,social media
9,U009,Alice Johnson,18,Non-Binary,New York,Platinum,P0009,Laptop,Clothing,Kitchen Appliances,Brand D,633.66,4.5,click,2024-01-01 00:08:00,3,True,Bank Transfer,search engine
10,U010,Alice Johnson,30,Non-Binary,Phoenix,Gold,P0010,Headphones,Clothing,Kitchen Appliances,Brand C,801.28,4.8,purchase,2024-01-01 00:09:00,,False,PayPal,direct visit
11,U011,Alice Johnson,48,Male,Houston,Platinum,P0011,Headphones,Electronics,Wearable Tech,Brand C,82.29,4.6,purchase,2024-01-01 00:10:00,4,False,Cash,search engine
12,U012,Jane Smith,25,Male,New York,Platinum,P0012,T-Shirt,Books,Wearable Tech,Brand C,94.9,4.6,review,2024-01-01 00:11:00,,True,PayPal,social media
13,U013,Jane Smith,55,Non-Binary,Houston,Platinum,P0013,Smartwatch,Home Goods,Wearable Tech,Brand C,88.61,4.6,review,2024-01-01 00:12:00,5,True,Cash,direct visit
14,U014,Alice Johnson,25,Non-Binary,Houston,Gold,P0014,Smartwatch,Home Goods,Apparel,Brand D,755.56,3.2,click,2024-01-01 00:13:00,4,True,PayPal,search engine
15,U015,Jane Smith,42,Female,Los Angeles,Silver,P0015,Smartwatch,Home Goods,Apparel,Brand A,854.72,4.3,review,2024-01-01 00:14:00,4,True,Credit Card,direct visit
